ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
436,2175.1,00:36:15,349,302,186,273,,,,,,,,,
437,2180.1,00:36:20,349,302,186,273,,,,,,,,,
438,2185.1,00:36:25,349,302,186,273,,,,,,,,,
439,2190.1,00:36:30,349,302,186,273,,,,,,,,,
440,2195.1,00:36:35,349,302,186,273,,,,,,,,,
441,2200.1,00:36:40,349,302,186,273,,,,,,,,,
442,2205.1,00:36:45,349,302,186,273,,,,,,,,,
443,2210.1,00:36:50,349,302,186,273,,,,,,,,,
444,2215.1,00:36:55,349,302,186,273,,,,,,,,,
445,2220.1,00:37:00,349,302,186,273,,,,,,,,,
446,2225.1,00:37:05,349,302,186,273,,,,,,,,,
447,2230.1,00:37:10,349,302,186,273,,,,,,,,,
448,2235.1,00:37:15,349,302,186,273,,,,,,,,,
449,2240.1,00:37:20,349,302,186,273,,,,,,,,,
450,2245.1,00:37:25,349,302,186,273,,,,,,,,,
451,2250.1,00:37:30,349,302,186,273,,,,,,,,,
452,2255.1,00:37:35,349,302,186,273,,,,,,,,,
453,2260.1,00:37:40,349,312,186,273,,,,,,,,,
454,2265.1,00:37:45,349,312,186,273,,,,,,,,,
455,2270.1,00:37:50,349,312,186,273,,,,,,,,,
456,2275.1,00:37:55,349,312,186,273,,,,,,,,,
457,2280.1,00:38:00,349,312,186,273,,,,,,,,,
458,2285.1,00:38:05,349,312,186,273,,,,,,,,,
459,2290.1,00:38:10,349,312,186,273,,,,,,,,,
460,2295.1,00:38:15,349,312,186,273,,,,,,,,,
